description,statusesCount,followersCount,favoritesCount,friendsCount,url,name,created,protected,verified,screenName,location,lang,id,listedCount,followRequestSent,profileImageUrl
,1727,16,3277,135,NA,Joanna Dorota,2016-12-24T13:12:49Z,FALSE,FALSE,joannadorotakat,,pl,812647216166924293,0,FALSE,http://pbs.twimg.com/profile_images/867420846893223937/UzC3OH95_normal.jpg
"https://t.co/RDNnCtqHa3
https://t.co/HeF2pEUeZx
http://t.co/w1OMhUN9fv 
http://t.co/mS86gQPlGo",951,3,6,78,NA,Ma≈Çgorzata Mazurek,2017-06-12T08:06:41Z,FALSE,FALSE,112discovery,,pl,874176111407759360,0,FALSE,http://pbs.twimg.com/profile_images/889029126572711936/3H0nDwzA_normal.jpg
,1338,57,33,141,NA,Tomasz FrƒÖckowiak,2011-08-07T16:23:27Z,FALSE,FALSE,Tomfra71,Poland,pl,350340835,0,FALSE,http://pbs.twimg.com/profile_images/419170451144069121/rOR0LSUT_normal.jpeg
"TT mia≈Ç byƒá do czytania informacji o serialu @MajorCrimesTNT a ostatecznie do≈ÇƒÖczy≈Çam do #DrugaZmiana i ""walczƒô"" z lewakami ....",6273,99,5137,91,NA,efkaÌ†ºÌ∑µÌ†ºÌ∑±,2014-02-20T13:28:47Z,FALSE,FALSE,efka_k_,,pl,2353241924,3,FALSE,http://pbs.twimg.com/profile_images/884149491238096896/BYkFBKg6_normal.jpg
,19936,945,23693,952,NA,Tom,2016-10-09T18:14:14Z,FALSE,FALSE,Tom41330773,,pl,785181591601643520,8,FALSE,http://pbs.twimg.com/profile_images/824198995157389312/Obqc0tDq_normal.jpg
po dobrej stronie mocy. ur.08.06.? kaczysta Pis-ior.,19086,550,16604,999,NA,Zenon  Kasprzak,2015-06-16T20:01:05Z,FALSE,FALSE,kaszen95,"≈örem, Polska",pl,3247040304,8,FALSE,http://pbs.twimg.com/profile_images/854742442498764803/AsMV7fKf_normal.jpg
"Pus¬≠te wor¬≠ki na¬≠dyma wiatr, bez¬≠my≈õlnych ludzi -¬†pr√≥≈ºno≈õƒá
Sokrates",9827,416,12965,641,NA,≈Åotr KujawskiÌ†ºÌ∑µÌ†ºÌ∑±,2012-01-29T20:15:24Z,FALSE,FALSE,KujawskiLaur,,pl,478008690,4,FALSE,http://pbs.twimg.com/profile_images/889568779918823424/qVwcA3FN_normal.jpg
,478,14,208,151,NA,Zenek  Wolski,2013-03-16T09:51:59Z,FALSE,FALSE,wolski_,Pod WarszawƒÖ,pl,1271899704,1,FALSE,http://pbs.twimg.com/profile_images/378800000798196627/f9b9c7c360d06ed2c936baee8a366c9f_normal.jpeg
,882,36,5957,239,NA,Lech Dobrzy≈Ñski,2013-06-08T04:49:58Z,FALSE,FALSE,LechDobrzynski,,pl,1492018543,0,FALSE,http://pbs.twimg.com/profile_images/613751342725734400/AwMm5HoS_normal.jpg
Polak.,7374,1059,75886,1675,NA,Janusz Pawlik,2015-11-15T12:28:32Z,FALSE,FALSE,janusz_pawlik,"Sandnes, Norge",pl,4193912920,4,FALSE,http://pbs.twimg.com/profile_images/760422154659921920/V3DiJpZk_normal.jpg
,2674,40,13804,164,NA,Gra≈ºyna Zi√≥≈Çkowska,2016-02-05T18:40:41Z,FALSE,FALSE,Grace190119,,pl,4878412229,1,FALSE,http://pbs.twimg.com/profile_images/770638219759190016/xgSyW-fy_normal.jpg
"@DVTVcz, student @UniKarlova",11777,2385,16644,1432,NA,Filip Zaj√≠ƒçek,2012-10-22T10:19:45Z,FALSE,FALSE,FilipZajicek,,cs,897236694,45,FALSE,http://pbs.twimg.com/profile_images/643359672020402176/ekKIhwRk_normal.jpg
"Paul Shmuel Mordechai. Voor Israel, voor vrede, lid Pools-Joodse raad museum geschiedenis Poolse Joden te Warschau. Voor Polen, prachtig land. Anti BDS.",22448,185,91,319,https://t.co/rgpXH36EY7,polned89,2009-01-14T17:23:12Z,FALSE,FALSE,polned89,The Netherlands,en,18983869,20,FALSE,http://pbs.twimg.com/profile_images/488791451019390976/XbMC0xDw_normal.png
Prawicowo≈õƒá to r√≥wnie≈º kurtuazja.,2704,137,10496,217,NA,Ella,2012-12-05T21:23:23Z,FALSE,FALSE,Elbietau,"Ma≈Çopolskie, Polska",pl,991814521,1,FALSE,http://pbs.twimg.com/profile_images/441152770914013184/554WLSEm_normal.jpeg
Lotnictwo i fotografia.... mmmm,17893,177,12383,312,https://t.co/nj0y2WypHg,Gryniek,2013-02-10T15:43:20Z,FALSE,FALSE,Gryniek,Polska,pl,1166235600,33,FALSE,http://pbs.twimg.com/profile_images/703325979104690176/Vwk7VvUH_normal.jpg
Emeryt-interesuje siƒô sportem i politykƒÖ.,12283,78,13186,214,NA,Stanis≈Çaw Sendrowski,2016-07-18T17:00:55Z,FALSE,FALSE,SendrowskiAw,"Grajewo, Polska",pl,755084946985934849,0,FALSE,http://pbs.twimg.com/profile_images/755087485659648000/HmB35v3l_normal.jpg
Wolno≈õƒá kocham i rozumiem...,2329,304,16822,977,NA,Ma≈Çgorzata Walewicz,2015-11-18T18:52:20Z,FALSE,FALSE,MWalewicz,"Wielkopolskie, Polska",pl,4220197919,6,FALSE,http://pbs.twimg.com/profile_images/843080260220583936/stwQcN-N_normal.jpg
"Na≈Çogowiec muzyczny, sportowy, oraz IT. KochajƒÖcy ≈ölƒÖzaczkƒô i ≈ölƒÖsk, maniak symulator√≥w, oraz wszystkiego co zwiƒÖzane z transportem fotografiƒÖ politykƒÖ gie≈ÇdƒÖ:)",8790,392,11720,1993,NA,Luca K-ski Ì†ºÌ∑µÌ†ºÌ∑±,2015-02-28T18:02:16Z,FALSE,FALSE,koloteem,SY/SH/ETM,pl,3050623598,4,FALSE,http://pbs.twimg.com/profile_images/855866075845726209/0ROH3rYD_normal.jpg
,1011,15,1466,153,NA,T. Wojski,2012-11-12T18:53:31Z,FALSE,FALSE,comasz,,pl,944345196,2,FALSE,http://pbs.twimg.com/profile_images/668062754347991040/dyPJYhWp_normal.jpg
,63275,949,13657,458,NA,2112,2009-03-23T19:31:38Z,FALSE,FALSE,rg2112,Teheran,en,26070792,42,FALSE,http://pbs.twimg.com/profile_images/1005583272/polskaflaga_normal.png
"B. ambasador w Kanadzie, rzecznik MSZ, korespondent w USA, szef dzia≈Çu zagr. GW
Frm ambassador to Canada, MFA spokesman, US correspondent, foreign editor GW",9309,10360,10694,230,NA,Marcin Bosacki,2011-07-06T09:08:57Z,FALSE,FALSE,MarcinBosacki,"Warszawa, Pozna≈Ñ",pl,330223690,141,FALSE,http://pbs.twimg.com/profile_images/783245126466428928/1jxkSh1a_normal.jpg
"‚ÄûAby uniknƒÖƒá tego, co silne, trzeba uderzaƒá w to, co s≈Çabe.‚Äù",7859,311,10027,709,https://t.co/TbbKb7Zwse,LEGION,2017-02-16T17:29:17Z,FALSE,FALSE,TWBalbina,Polska,pl,832280702750191620,2,FALSE,http://pbs.twimg.com/profile_images/894291739103592449/IX3BjTdl_normal.jpg
,331,16,1071,198,NA,Agatha,2016-12-16T08:19:23Z,FALSE,FALSE,agathazujka,"Arhus, Denmark",en,809674268657250304,1,FALSE,http://pbs.twimg.com/profile_images/826155629555376129/1bFLHQJD_normal.jpg
,444,281,419,390,NA,S≈Çawomir ≈ölazyk,2015-03-08T08:55:30Z,FALSE,FALSE,s_slazyk,,pl,3078980219,0,FALSE,http://pbs.twimg.com/profile_images/574494846292897792/6jErNOHU_normal.jpeg
z d. NAZAR,1599,7,5883,32,NA,TERESA PIECHOTA,2015-10-19T13:46:37Z,FALSE,FALSE,piechota46,≈öWIDNICA - DOLNO≈öLƒÑKIE,pl,3994787787,2,FALSE,http://pbs.twimg.com/profile_images/660380140795334656/9BcugHqf_normal.jpg
"#Gda≈Ñsk, pos≈Çanka, WiceprzewodniczƒÖca Komisji ds.UE / MP, Vice-chair of EU Affairs Committee, Poland https://t.co/feyct0V3f9 RT nie oznacza poparcia",21731,51754,7970,2638,https://t.co/mOvcs81xm9,Agnieszka Pomaska,2009-06-02T16:08:03Z,FALSE,FALSE,pomaska,Gdansk,en,44146348,341,FALSE,http://pbs.twimg.com/profile_images/646941106698121216/ljF0jOOB_normal.jpg
,109,0,50,19,NA,Fred Sfnith,2017-04-23T07:55:52Z,FALSE,FALSE,SfnithFred,,pl,856053998645805056,0,FALSE,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
,530,8,509,74,NA,Rob Kot,2015-08-06T10:10:20Z,FALSE,FALSE,KTMRobKot,,pl,3405390477,0,FALSE,http://pbs.twimg.com/profile_images/629234057012908036/DzKYoF8D_normal.jpg
Przedsiƒôbiorca / Unternehmer / Enterpreneur,34,9,6,149,https://t.co/Qrs1QLQqQL,Micha≈Ç Gurbisz,2012-04-03T15:29:33Z,FALSE,FALSE,MichalGurbisz,Poland,pl,544361846,0,FALSE,http://pbs.twimg.com/profile_images/558354419578703874/jQE7tBAQ_normal.jpeg
// Just a Bot // All tweets will be collected automatically. The link to the Source is always located at the end of the Tweet.,23164,857,0,0,NA,"Houston, we have a",2013-03-10T13:11:39Z,FALSE,FALSE,tangodownwatch,,de,1256991386,190,FALSE,http://pbs.twimg.com/profile_images/3363271828/42cbc3978547274425486e6e95c15104_normal.png
"Radny, PrzewodniczƒÖcy Klubu Radnych Platformy Obywatelskiej RP w Radzie Miasta Krakowa.",270,310,255,422,NA,Andrzej Hawranek,2014-04-17T10:18:49Z,FALSE,FALSE,AndrzejHawranek,Krak√≥w,pl,2449466918,1,FALSE,http://pbs.twimg.com/profile_images/840180653522059264/RJWTFTUv_normal.jpg
Prawa strona.,744,59,861,105,NA,Backyardbadboy Ì†ºÌ∑µÌ†ºÌ∑±,2016-09-01T18:57:57Z,FALSE,FALSE,Backyardbadboy,,en-gb,771421853411864576,0,FALSE,http://pbs.twimg.com/profile_images/893832303037874176/qbITQOLT_normal.jpg
,15911,50,12166,123,NA,anastazja,2017-04-19T11:19:38Z,FALSE,FALSE,anastazja1964,,pl,854655724990889984,0,FALSE,http://pbs.twimg.com/profile_images/893953678155055105/75vKh3M2_normal.jpg
"Byƒá w zgodzie z NaturƒÖ i sobƒÖ - to dopiero sztuka.
Konik morski to jeden z piƒôkniejszych kszta≈Çt√≥w,  jakie stworzy≈Ça natura Ì†ΩÌ∏ä",2682,48,4448,167,NA,seahorse2,2017-05-20T05:40:09Z,FALSE,FALSE,07seahorse07,,pl,865804314790567936,0,FALSE,http://pbs.twimg.com/profile_images/865816542591815680/2HP-zaUl_normal.jpg
I enjoy my every moment of life,541,93,406,413,NA,Joanna ≈Åukomska,2011-07-24T21:48:46Z,FALSE,FALSE,JoannaLukomska,"Poznan, Poland",en,341739593,3,FALSE,http://pbs.twimg.com/profile_images/885386358445027328/BoCGcQsE_normal.jpg
Profil za≈Ço≈ºy≈Çam gdy by≈Çy wybory prezydenckie 2015.,2200,31,3413,51,NA,BB,2015-05-24T11:45:19Z,FALSE,FALSE,bb_bear4,"Bia≈Çystok, Podlaskie",pl,3296439503,0,FALSE,http://pbs.twimg.com/profile_images/751716659333832704/oFffE3RT_normal.jpg
Tout ce que vous voulez Il est de l'autre c√¥t√© de la peur.,5713,227,11702,1149,NA,Joanna Stanislawska,2014-10-23T20:54:30Z,FALSE,FALSE,JStanislawska,Warszawa-Polska,pl,2873986428,2,FALSE,http://pbs.twimg.com/profile_images/894267023387234304/4SCj7Emj_normal.jpg
"Mam polityczne serce po≈õrodku. 
PIS musi odej≈õƒá! :-)",6853,386,29042,1003,NA,DoMa,2011-06-23T17:26:55Z,FALSE,FALSE,Banasiak1,,fr,322739702,1,FALSE,http://pbs.twimg.com/profile_images/864211739788881920/Wcw8oFA3_normal.jpg
,1824,53,685,333,NA,KrzysztofStankiewicz,2012-11-09T14:59:56Z,FALSE,FALSE,Krzysztof77777,Polska,pl,937082400,1,FALSE,http://pbs.twimg.com/profile_images/3178367720/8bd43a11ec78288efa54fb82ec58dc5a_normal.jpeg
"Writer, publisher, traveler, podcaster, photographer and co-owner @iMagazinePL. I also write in English and publish my photos on https://t.co/S6lGEmLqNW.",143687,11350,438,422,https://t.co/VDX7oxBNCG,Wojtek Pietrusiewicz,2009-02-09T13:02:05Z,FALSE,TRUE,morid1n,Earth,en,20433226,267,FALSE,http://pbs.twimg.com/profile_images/726187694758461442/_04kZofR_normal.jpg
,36923,411,171,213,http://t.co/p8cuJ2NMJ6,DPG M√ºnchen e.V.,2011-03-02T13:50:11Z,FALSE,FALSE,dpgmde,M√ºnchen,de,259732313,28,FALSE,http://pbs.twimg.com/profile_images/1261961567/dpgm_normal.jpg
journalism student in Pozna≈Ñ,3945,1086,222,359,NA,incurably dishonest,2015-05-18T11:39:46Z,FALSE,FALSE,BLACKWID0V,Polska,pl,3288270551,7,FALSE,http://pbs.twimg.com/profile_images/888111418653892608/NTZLQYo3_normal.jpg
,845,63,2858,575,NA,MarKoral,2011-05-01T12:27:32Z,FALSE,FALSE,MarianKor,"Wielkopolskie, Polska",pl,291072374,2,FALSE,http://pbs.twimg.com/profile_images/846077278576676866/1yztlzBy_normal.jpg
Ryszard 'Pyton' Bies. 21. k≈Çir trans thing. white. Ì†ºÌ∑µÌ†ºÌ∑± native polish speaker. basic german. werebike at tumblr. best not to follow if you aren't +18,36666,181,317475,190,https://t.co/78vOHGjtGt,Papierowy ksiƒô≈ºyc,2012-08-04T17:36:44Z,FALSE,FALSE,czerwonyrower,"Gdansk, Pomerania",en,737114598,17,FALSE,http://pbs.twimg.com/profile_images/894612879550361600/-oGM7HA-_normal.jpg
"Tylko PRAWDA mo≈ºe nas WYZWOLIƒÜ!                
B√ìG-HONOR-OJCZYZNA               
                     

-Szczƒô≈õliwy mƒÖ≈º, ojciec 2 Syn√≥w
i Ksiƒô≈ºniczki!
#ProLife",4541,543,6005,492,NA,Krzysztof ...ski,2015-10-25T11:36:38Z,FALSE,FALSE,vanVin82,"Piekary ≈ölƒÖskie, Polska",pl,4038529227,13,FALSE,http://pbs.twimg.com/profile_images/814060629120184320/gkO9C_CR_normal.jpg
"Nie s≈Çuchajcie tego, co opowiadajƒÖ, ≈ºe siƒô nie da. To bzdury.",55,222,13,1,NA,Wideo RP,2016-12-06T19:57:18Z,FALSE,FALSE,Wideo_RP,Zachodnia Polska,pl,806226026279870464,2,FALSE,http://pbs.twimg.com/profile_images/808409804146409472/Gvj59PTK_normal.jpg
,3433,81,2670,217,NA,Ma≈Çgorzata,2015-05-17T20:36:23Z,FALSE,FALSE,GochaTom,,pl,3216047953,1,FALSE,http://pbs.twimg.com/profile_images/819175939464630272/Z5km4QmS_normal.jpg
za rozumem a nie t≈Çumem,4142,52,3439,107,NA,Kachna,2014-06-09T12:24:22Z,FALSE,FALSE,madej111,Polska,pl,2556768439,1,FALSE,http://pbs.twimg.com/profile_images/690195287458103296/ma6ndToQ_normal.jpg
"Mi≈Ço≈õniczka kot√≥w, ps√≥w i prawie wegetarianka, ≈ºe o rowerze nie wspomnƒô:)

Mam do≈õƒá PISu !!",10630,167,8927,482,NA,MalaMegy,2015-06-27T11:23:56Z,FALSE,FALSE,1Malamegy,"Wroc≈Çaw, Polska",pl,3347444591,5,FALSE,http://pbs.twimg.com/profile_images/887941955195424768/p2pLNYwu_normal.jpg
,277,116,74,790,NA,Trzebnicka PO ‚úå,2017-03-24T14:04:21Z,FALSE,FALSE,trzebnicka_po,,pl,845275094465347585,1,FALSE,http://pbs.twimg.com/profile_images/889217259645939713/eeSJaY-0_normal.jpg
"#OpozycjaObywatelska RT nie oznacza ≈ºe nie popieram. Dajƒô lajka bo my≈õlƒô ≈ºe to Facebook. Ja to opozycja, opozycja to ja.",3708,190,6314,346,NA,Czarna Kanalia O.O.,2017-06-17T19:12:30Z,FALSE,FALSE,lis_czarny,,pl,876155612308090880,0,FALSE,http://pbs.twimg.com/profile_images/887999736757747713/mTAEizPi_normal.jpg
"emeryt,ale nie umys≈Çowy/narazie/",5253,189,18983,279,NA,Docent,2015-12-05T15:23:11Z,FALSE,FALSE,lesna534,"Zachodniopomorskie, Polska",pl,4384320880,2,FALSE,http://pbs.twimg.com/profile_images/697874867329306624/JtWIRTga_normal.jpg
,312,50,1426,76,NA,Nowoczesna Sanok,2017-04-01T08:15:56Z,FALSE,FALSE,NowoczesnaSanok,,pl,848086515762778112,0,FALSE,http://pbs.twimg.com/profile_images/848091781388480516/1ikUznch_normal.jpg
Nie aktywny zawodowo,640,17,378,31,http://t.co/iZ95uiZaOw,Jano Jansen,2011-09-19T19:20:08Z,FALSE,FALSE,JanElkienin,Polska,pl,376366597,0,FALSE,http://pbs.twimg.com/profile_images/2736262624/8e01c4abd98e11dccfc708d6b093bb09_normal.jpeg
,1704,71,463,617,NA,Micha≈Ç,2013-04-11T19:03:12Z,FALSE,FALSE,MichalPaluchows,,pl,1345050258,1,FALSE,http://pbs.twimg.com/profile_images/514637282591379456/tvJyl6Gl_normal.jpeg
"ochronazdrowia,JST,restrukturyzacja,muzyka,architektura,motoryzacja,sport i zdrowy rozsadek z poszanowaniem dla historii bez katolickiej histerii",4551,788,3327,2417,NA,Tomasz Kopiec,2016-10-07T15:11:17Z,FALSE,FALSE,tomasz_tkopiec,Polska,pl,784410775402213377,45,FALSE,http://pbs.twimg.com/profile_images/893873430315008000/qujmGs5o_normal.jpg
Postprawdy dla postludzi,432,184,148,82,https://t.co/Md3VzwvEVl,Anonimowy Internauta,2016-12-11T16:20:34Z,FALSE,FALSE,AnonimInternaut,,pl,807983422790569984,0,FALSE,http://pbs.twimg.com/profile_images/808358056493019136/1b3wMRpO_normal.jpg
Mi≈Ço≈õnik lotniczej historii,11787,474,8706,1120,http://t.co/eEvoYINMuC,Robert Gretzyngier,2015-06-18T22:48:07Z,FALSE,FALSE,gretzyngier,"Warszawa, Mazowieckie",pl,3333630010,1,FALSE,http://pbs.twimg.com/profile_images/613579983265644544/gAW6yfel_normal.jpg
Amor Patriae Nostra Lex,571,24,1437,139,NA,Marek Gruszka,2017-07-01T07:30:13Z,FALSE,FALSE,MarekGruszka2,"Wien, √ñsterreich",pl,881052303897354244,1,FALSE,http://pbs.twimg.com/profile_images/881386947339485185/m-s9lkRj_normal.jpg
"I cza¬≠sem mi¬≠mo s≈Ço≈Ñca, wy¬≠pada wziƒÖƒá parasol...
By w ra¬≠zie deszczu k≈Çam¬≠stw nie zmoczyƒá zbyt¬≠nio p≈Çaszcza praw¬≠dy. Jestem PolkƒÖ!",43102,2866,40985,1079,NA,K G B,2015-05-31T06:08:38Z,FALSE,FALSE,lidiantczak,,pl,3304337067,17,FALSE,http://pbs.twimg.com/profile_images/745030443322376193/WzLyyfU-_normal.jpg
"Polish.European.Cosmopolitan. "" Everyone is entitled to have their own opinion, but not their own facts"". Simple.",531,50,490,304,NA,iwona kasprzyk,2013-11-15T22:46:04Z,FALSE,FALSE,KasprzykIwona,,pl,2196737221,0,FALSE,http://pbs.twimg.com/profile_images/882563318086594561/r3eESlZK_normal.jpg
Klub .Nowoczesna ---------Dumny Polak Gorszego Sort - ≈ÅOTR,8131,398,5635,952,NA,Robert Leszczy≈Ñski,2013-12-30T21:16:56Z,FALSE,FALSE,L75Robert,"Wroc≈Çaw, Polska",pl,2252909199,6,FALSE,http://pbs.twimg.com/profile_images/874319939020226560/kpr8wYoc_normal.jpg
"politolog, dziennikarz, obrona narodowa @GPCodzienna",885,176,3554,858,https://t.co/VCy5NR1gpY,Sta≈Ñczyk_R,2011-08-27T15:19:56Z,FALSE,FALSE,RomanStanczyk,"Warszawa, Polska",pl,363119448,4,FALSE,http://pbs.twimg.com/profile_images/750027227589378049/lLd6_Ky8_normal.jpg
Pose≈Ç na Sejm RP - .Nowoczesna Ryszarda Petru.,889,522,1035,269,NA,Pawe≈Ç Kobyli≈Ñski,2016-11-09T07:57:18Z,FALSE,FALSE,P_Kobylinski,Polska,pl,796260358751219713,8,FALSE,http://pbs.twimg.com/profile_images/799532506706038788/RhiWBPCd_normal.jpg
,927,43,4892,115,NA,Jadwiga Szczƒôsna,2015-11-20T20:22:40Z,FALSE,FALSE,65jagasz,,en,4237033517,0,FALSE,http://pbs.twimg.com/profile_images/669613162690445312/5ulOUoy8_normal.png
,470,12,4510,61,NA,Jola,2012-08-16T07:31:16Z,FALSE,FALSE,JolantaFk,Olszyn,pl,761056094,0,FALSE,http://pbs.twimg.com/profile_images/887950608774418432/aWoimoAG_normal.jpg
"Kocham Polskƒô ,Kocham prawdziwych Polak√≥w. Najwiƒôkszy autorytet? premier Jaros≈Çaw Kaczy≈Ñski.^^",2031,346,9630,982,NA,Micha≈Ç Stawiarski,2017-01-17T14:50:50Z,FALSE,FALSE,MichaStawiarsk1,"Kra≈õnik gmina, Polska",pl,821369194075877376,1,FALSE,http://pbs.twimg.com/profile_images/887781298152116225/VahSUsmb_normal.jpg
Plata o plomo.,76337,1772,4112,560,NA,Raul Duke,2009-02-21T15:54:28Z,FALSE,FALSE,DoctorRaulDuke,,pl,21494188,67,FALSE,http://pbs.twimg.com/profile_images/894241150974005249/n7TRN35M_normal.jpg
,86,16,937,186,NA,Janusz Makowski,2012-11-11T10:01:38Z,FALSE,FALSE,JanuszMako58,,pl,940952252,0,FALSE,http://pbs.twimg.com/profile_images/675600619487387648/vgrZ8bWw_normal.jpg
"PiS to partia hipokryt√≥w, k≈Çamc√≥w i manipulant√≥w, ludzi m≈õciwych i pe≈Çnych nienawi≈õci. Popieranie PiS-u szkodzi pa≈Ñstwu i narodowi polskiemu.",5320,468,9187,830,NA,Yaevinn Iorweth,2016-12-12T10:00:04Z,FALSE,FALSE,YaevinnIorweth,"Pozna≈Ñ, Polska",pl,808250055358644224,1,FALSE,http://pbs.twimg.com/profile_images/885777578430275585/08qTuv9l_normal.jpg
Technologia Muzyka Podr√≥≈ºe Polityka Newsy,217,12,661,141,NA,Tomasz Baranowski,2013-04-04T06:46:44Z,FALSE,FALSE,Bafan1976,"Swarzƒôdz, Polska",pl,1326319040,0,FALSE,http://pbs.twimg.com/profile_images/786515555218034688/JgMYiu5L_normal.jpg
,598,320,386,1771,NA,Darek Szulc,2017-03-24T13:28:16Z,FALSE,FALSE,darek_szulc,,pl,845266013210001410,0,FALSE,http://pbs.twimg.com/profile_images/845266168097259521/u4GihSlD_normal.jpg
,20283,598,28245,663,NA,Robbi,2013-03-25T21:58:39Z,FALSE,FALSE,jajacek63,"Dolno≈õlƒÖskie, Polska",pl,1301297094,15,FALSE,http://pbs.twimg.com/profile_images/820936799124094980/SBjHOkml_normal.jpg
,1167,10,809,111,NA,Kes Kester,2017-03-18T05:18:16Z,FALSE,FALSE,kes_kester,,pl,842968372128223232,0,FALSE,http://pbs.twimg.com/profile_images/842969214298312704/wPP7cusD_normal.jpg
,804,723,583,2294,NA,Dominika,2017-02-19T15:53:39Z,FALSE,FALSE,domis_ia,Polska,pl,833343799225098240,0,FALSE,http://pbs.twimg.com/profile_images/833344357004488705/hENcZVsk_normal.jpg
"Dajcie PISowcom rzƒÖdziƒá, a sami siƒô wyko≈ÑczƒÖ",1954,222,3361,239,NA,Heksa,2016-02-21T18:06:52Z,FALSE,FALSE,AnielicaStrzyga,"Gda≈Ñsk, Polska",pl,701468144020418560,0,FALSE,http://pbs.twimg.com/profile_images/884806107050512386/7ZUI4PYU_normal.jpg
...,369,44,233,263,NA,joanna dzik,2010-03-29T18:22:34Z,FALSE,FALSE,joandzik,poland ,pl,127602818,0,FALSE,http://pbs.twimg.com/profile_images/881577161718628352/rmYkEflO_normal.jpg
PiSior konserwowy.,11318,106,8238,131,NA,cacany prze≈õliczny,2012-05-13T16:36:59Z,FALSE,FALSE,cacanyprzeliczn,,pl,579097183,4,FALSE,http://pbs.twimg.com/profile_images/481102984760135680/Dipu317z_normal.png
Prawda zawsze wyjdzie na wierzch jak oliwa - tylko prywatne opinie,26308,1264,30443,2913,NA,maria w,2015-06-04T11:46:13Z,FALSE,FALSE,MariamartaW,,pl,3308050827,21,FALSE,http://pbs.twimg.com/profile_images/702962836679491584/C-q04R2N_normal.jpg
,6810,151,31981,1269,NA,Krzysztof,2008-06-27T08:27:49Z,FALSE,FALSE,Rocznik1964,Poland,pl,15253100,0,FALSE,http://pbs.twimg.com/profile_images/850646405014315008/kmrsXdvI_normal.jpg
,82,6,84,119,NA,jahoo movies,2016-08-26T13:44:01Z,FALSE,FALSE,jahoomovies,,pl,769168524497522694,0,FALSE,http://pbs.twimg.com/profile_images/888122674076987392/mbHiVSJp_normal.jpg
,3836,49,4256,301,NA,JDGaik,2014-01-08T11:27:18Z,FALSE,FALSE,GaikJd,,pl,2268655577,10,FALSE,http://pbs.twimg.com/profile_images/440105257142853632/b3AllWwR_normal.jpeg
,2098,33,847,188,NA,Anna Jewel,2017-06-18T19:59:35Z,FALSE,FALSE,AnnaMyPrecious1,,pl,876529846872145922,0,FALSE,http://pbs.twimg.com/profile_images/876532438914224130/fxMUjTVu_normal.jpg
Si Deus Nobiscum Quis Contranos,27274,907,17059,1060,https://t.co/QBjwy8T74N,Dominik Gawron,2010-06-26T16:36:39Z,FALSE,FALSE,DGawr,"PL, BR, AR, COÌ†ºÌ∑µÌ†ºÌ∑±Ì†ºÌ∑¶Ì†ºÌ∑∑Ì†ºÌ∑ßÌ†ºÌ∑∑Ì†ºÌ∑®Ì†ºÌ∑¥",es,159902110,38,FALSE,http://pbs.twimg.com/profile_images/888684943165054976/LeI9tHYZ_normal.jpg
Nie zaprza≈Ñstwo i nie kasta Polak Panem jest i basta !,19854,1860,14562,3541,NA,Tomasz Kobrzycki,2014-11-17T10:14:25Z,FALSE,FALSE,KobrzyckiTomasz,,pl,2880766289,10,FALSE,http://pbs.twimg.com/profile_images/715998658777452544/K1-1tPsM_normal.jpg
"Wyzywam Was na 1/4 mili Ì†ºÌ∑µÌ†ºÌ∑±. Jestem rozpoznawalny w≈õr√≥d m≈Çodej widowni. W tym roku ponownie zobaczymy siƒô na du≈ºym ekranie. 
Tutaj prywatnie.",23489,678,15676,1907,NA,Lightning McQueen,2013-03-19T22:19:56Z,FALSE,FALSE,MarioSuperMix,Polska,pl,1281674359,16,FALSE,http://pbs.twimg.com/profile_images/848289733608394752/zcmqYHyj_normal.jpg
"Ì†ºÌ∑µÌ†ºÌ∑± Ì†ºÌ∑™Ì†ºÌ∑∫ Ì†ºÌ∑¨Ì†ºÌ∑ß Nie znoszƒô chamstwa, g≈Çupoty i hipokryzji. Staram siƒô byƒá przyzwoitym cz≈Çowiekiem..
 Polka - patriotka gorszego sortu.
Anglofil(ka).",3500,349,18919,775,NA,Eliz‚ìêbeth7Ì†ºÌº∫‚òÇ,2016-11-10T22:05:39Z,FALSE,FALSE,eelamal,"Warszawa, Polska, Londyn",pl,796836241123803136,1,FALSE,http://pbs.twimg.com/profile_images/891194832865161218/SjB1WdCo_normal.jpg
...filcujƒô do skutku :),195,10,209,134,NA,Justyna Szczesio,2010-06-02T20:39:34Z,FALSE,FALSE,feltingcraft,Pabianice,pl,151187303,0,FALSE,http://pbs.twimg.com/profile_images/3397535938/25451952487aa39859807381317143b0_normal.jpeg
"‚ÄúWhether you think you can, or you think you can‚Äôt, you‚Äôre right‚Äù  ‚Äî Henry Ford",390,36,7381,104,NA,Krzysztof Cabaj,2015-05-24T15:07:05Z,FALSE,FALSE,Kcbkcb_kris,,pl,3296605857,1,FALSE,http://pbs.twimg.com/profile_images/723036416830279680/HeFqh8BO_normal.jpg
"Nie chodzi o to, co wiesz, ale o to, cze¬≠go nie wiedzƒÖ inni -Terry Pratchett",3270,104,2752,237,NA,Niez≈Çomny,2014-01-07T23:41:38Z,FALSE,FALSE,Andrjuno1,,pl,2281310881,3,FALSE,http://pbs.twimg.com/profile_images/814280384292777985/mHWcWb_S_normal.jpg
